Date,Close,High,Low,Open,Volume,RSI,EMA,Ticker
2024-10-21,417.1070861816406,417.2863598354636,412.09718088424023,414.457708513249,14206100,,,MSFT
2024-10-22,425.8022155761719,428.85992860317606,416.3700446113444,416.8182287379404,25482200,,,MSFT
2024-10-23,422.9038391113281,429.3579337373482,420.8421009299413,429.13881136450993,19654400,,,MSFT
2024-10-24,423.0332946777344,424.2783011634291,420.71258556682636,423.6308734743349,13581600,,,MSFT
2024-10-25,426.43963623046875,430.79217425375066,424.8659613297776,425.0552047565001,16899100,,,MSFT
2024-10-28,424.8858947753906,430.21452917811945,424.59704472930554,429.93564891158985,14882400,,,MSFT
2024-10-29,430.2244873046875,431.43961494644003,424.09903059516625,426.29025434116863,17644100,,,MSFT
2024-10-30,430.8021545410156,436.7483071680008,430.3738795735308,435.69254402246366,29749100,,,MSFT
2024-10-31,404.72674560546875,414.4975548257246,404.67692710480617,413.70073237613923,53971000,,,MSFT
2024-11-01,408.73065185546875,413.8401634297127,405.87212177522963,407.3760993641267,24230400,,,MSFT
2024-11-04,406.8282775878906,408.78046967487955,403.9498383507318,408.1629209153218,19672300,,,MSFT
2024-11-05,409.8163146972656,413.24257521436044,406.4498120639611,406.73866209939297,17626000,,,MSFT
2024-11-06,418.50146484375,418.77040570560524,408.8800507986786,410.77248502778195,26681800,,,MSFT
2024-11-07,423.73052978515625,425.1448706929316,418.2027124984046,419.5971138468432,19901800,56.18100507163326,,MSFT
2024-11-08,420.85205078125,424.7962229099081,420.095077093531,423.6209440547306,16891400,52.86656536195634,,MSFT
2024-11-11,416.34014892578125,423.11297221775334,414.3381687204943,420.83211176857736,24503300,48.078572992128635,,MSFT
2024-11-12,421.340087890625,422.744458901271,415.533390819855,416.57918414479684,19401200,53.14306587055569,,MSFT
2024-11-13,423.50146484375,427.61494119189337,416.5393671420712,419.9556884147255,21502200,55.178361813783674,,MSFT
2024-11-14,425.1846923828125,426.4595778768523,418.3222016749388,423.30222788535474,30246900,56.753790471088585,,MSFT
2024-11-15,413.3421936035156,421.1110226744225,411.98764100476023,418.14294637599176,28247600,44.81805413675744,418.89030857414906,MSFT
2024-11-18,414.0991516113281,416.72858966014985,410.45376875637714,413.21269235073834,24742000,45.60550312713692,418.43400791102323,MSFT
2024-11-19,416.1210632324219,416.270457948444,409.90596948487496,411.45973532284427,18133500,47.75029106841718,418.2137274654421,MSFT
2024-11-20,413.8302001953125,415.62302783332285,408.93981090505724,415.2046922657536,19191700,45.55839744072135,417.79624867781075,MSFT
2024-11-21,412.0437927246094,418.9399686403921,409.4689690149979,418.6605301722443,20780200,43.867368207190935,417.2483957298868,MSFT
2024-11-22,416.16552734375,416.56472079906104,410.2374116400306,410.5467888521348,24814600,48.60726204873477,417.1452654073976,MSFT
2024-11-25,417.95196533203125,420.23736087052777,414.0198472532827,417.54278213072394,27691100,50.55602576283284,417.2220939716484,MSFT
2024-11-26,427.133544921875,428.18146205416855,418.01185069672323,418.75036014607525,23458900,59.1331668681498,418.1660416811938,MSFT
2024-11-27,422.1435546875,426.37509083138485,421.17549451394376,424.2593075311874,18332400,53.68273639055568,418.5448524436992,MSFT
2024-11-29,422.61260986328125,424.0297817162198,416.9639323784013,419.24935840992123,16271900,54.11090817927062,418.93225791223085,MSFT
2024-12-02,430.1175842285156,432.13353107658475,420.4669212999132,420.72641076442574,20207200,60.41616758699085,419.9975270852103,MSFT
2024-12-03,430.3371276855469,431.60457529422956,426.88402964452257,428.9798333762607,18302000,60.5867724731178,420.98225095190907,MSFT
2024-12-04,436.544677734375,438.79017518476684,431.7642546343851,432.1634480898198,26009400,65.15919375017606,422.46438683595346,MSFT
2024-12-05,441.7342529296875,443.770179142923,435.2971785217715,437.0436765362191,21697800,68.45410246923586,424.29961217821386,MSFT
2024-12-06,442.682373046875,445.2073090094776,440.88595677867977,441.4148949698492,18821000,69.0303482371706,426.05035130856254,MSFT
2024-12-09,445.12744140625,447.4328163406456,439.6184986530788,441.7143023543043,19144400,70.52562568333066,427.8672170321518,MSFT
2024-12-10,442.4428405761719,448.7202622082635,440.71632196493806,443.500747434082,18469500,66.71677536521358,429.2553716553918,MSFT
2024-12-11,448.0915222167969,449.4488165759074,443.1614051498909,443.1614051498909,19200200,70.34576512720169,431.04929075647794,MSFT
2024-12-12,448.6603698730469,455.24716851093444,448.2112581986308,448.2112581986308,20834800,70.69232263088793,432.72653638662734,MSFT
2024-12-13,446.37493896484375,450.5266178755225,444.6883184556146,447.5426110314286,20177800,67.28984768697615,434.0263842512194,MSFT
2024-12-16,450.6863098144531,451.27512549789225,444.38893932865295,446.37494735046533,23598800,70.2033910981344,435.6130438286702,MSFT
2024-12-17,453.5505676269531,454.3789237624039,448.67036888572403,450.10748972576295,22733500,71.98846903182948,437.3213794285067,MSFT
2024-12-18,436.5147399902344,451.7441820228141,436.1454548251872,450.4168569277278,24444500,52.02492579571466,437.24455662486173,MSFT
2024-12-19,436.15545654296875,442.29314366547726,435.4468858542376,440.73626782337294,22963700,51.699300593743125,437.14083280753863,MSFT
2024-12-20,435.726318359375,442.85201454579715,427.7722660445124,432.2432815476765,64263700,51.28639256662988,437.0061171458088,MSFT
2024-12-23,434.3790283203125,436.7742196281346,431.96385754199804,435.86603695951885,19152500,49.93790302284349,436.75591821004724,MSFT
2024-12-24,438.4508361816406,438.7203153724094,433.32113775673025,433.7802087154167,7164500,53.88433622319927,436.9173389692466,MSFT
2024-12-26,437.2332763671875,440.0576302640168,435.7562575113133,438.20133650274425,8194200,52.55032693379297,436.9474282452409,MSFT
2024-12-27,429.66845703125,434.3490742197977,425.49682901810996,433.73031978660106,18117700,45.08245572469941,436.2541928915275,MSFT
2024-12-30,423.9798583984375,426.6944166190143,421.05572893712207,425.2074080072107,13158700,40.429670416012556,435.08520865409037,MSFT
2024-12-31,420.6565246582031,425.8760697244736,419.81820926028456,425.24732556190753,13246500,37.964555787228356,433.7110482735296,MSFT
2025-01-02,417.74237060546875,425.2174031564215,414.01985416103116,424.67847521686525,16896500,35.897625300315184,432.1902218289524,MSFT
2025-01-03,422.5028381347656,423.1814700735548,418.7004647827294,420.2373611517797,16662900,41.50062452366314,431.2676138580775,MSFT
2025-01-06,426.99383544921875,433.450889550372,424.6285829292995,427.1435291929144,20573600,46.271812278711415,430.86058734294807,MSFT
2025-01-07,421.5247802734375,429.7882097463078,419.957914728963,428.1415176926379,18139100,41.800723725644495,429.97146286013754,MSFT
2025-01-08,423.7104187011719,426.11559975123726,420.69647292951623,422.61261379874435,15054600,44.124369355692075,429.37517294023604,MSFT
2025-01-10,418.11163330078125,423.86008600637365,414.1894746460312,423.7802594986814,20201100,39.74660357313194,428.3024548793356,MSFT
2025-01-13,416.35516357421875,417.66253969684465,411.4649750549722,414.4090535363967,17604800,38.45750350813396,427.16461761218164,MSFT
2025-01-14,414.8382263183594,418.9000587938386,409.89811945983064,416.9739281792526,16935900,37.331414586397365,425.9906755841986,MSFT
2025-01-15,425.4569091796875,427.29322350331137,417.4329894853562,418.29128437786517,19637800,48.66340874134359,425.93984068853086,MSFT
2025-01-16,423.7303466796875,428.6305247845027,423.5407549144398,427.84212760615685,15300000,47.16986675257942,425.72941268768864,MSFT
2025-01-17,428.1714782714844,433.61058460419247,427.31321381371214,433.22135040368397,26197500,51.3094411304711,425.9619903623359,MSFT
2025-01-21,427.64251708984375,430.03770829379437,424.7483264493822,429.33912735658424,26085700,50.798885567337734,426.1220405268604,MSFT
2025-01-22,445.30712890625,446.37496460039233,435.1275277712005,436.68440364505375,27803800,63.76564036570278,427.94919180108803,MSFT
2025-01-23,445.8160705566406,445.85599903960934,440.61650492666485,441.1155043659929,18389300,64.05953296761402,429.65079930161687,MSFT
2025-01-24,443.17138671875,445.7562002010948,440.5167060042179,444.2691915941594,15549500,61.278129362609064,430.93847429372477,MSFT
2025-01-27,433.6903991699219,434.32913308449037,422.6525337820519,423.16152296669173,35647800,52.48089821944558,431.2005623771721,MSFT
2025-01-28,446.30511474609375,447.4827461239755,430.51676503368185,433.73032267022137,23491700,60.58818459479612,432.63909117421224,MSFT
